1 2
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -7.320508e-01, e+1: -7.320505e-01, T: 1.0000e-07, no:    1641, try:    105000000
emin+1: -7.320508e-01, e+1: -7.320506e-01, T: 7.4928e-08, no:    1575, try:    106500000
emin+1: -7.320508e-01, e+1: -7.320506e-01, T: 6.3096e-08, no:     163, try:    108000000
emin+1: -7.320508e-01, e+1: -7.320507e-01, T: 4.7276e-08, no:    3282, try:    109500000
emin+1: -7.320508e-01, e+1: -7.320507e-01, T: 3.9811e-08, no:     497, try:    111000000
emin+1: -7.320508e-01, e+1: -7.320507e-01, T: 2.9829e-08, no:     722, try:    112500000
emin+1: -7.320508e-01, e+1: -7.320507e-01, T: 2.5119e-08, no:    3947, try:    114000000
emin+1: -7.320508e-01, e+1: -7.320507e-01, T: 1.8821e-08, no:    1259, try:    115500000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 1.5849e-08, no:     494, try:    117000000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 1.1875e-08, no:    1826, try:    118500000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 1.0000e-08, no:    3939, try:    120000000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 7.4928e-09, no:      64, try:    121500000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 6.3096e-09, no:   12207, try:    123000000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 4.7276e-09, no:    1137, try:    124500000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 3.9811e-09, no:    6992, try:    126000000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 2.9829e-09, no:    6764, try:    127500000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 2.5119e-09, no:     874, try:    129000000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 1.8821e-09, no:    4346, try:    130500000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 1.5849e-09, no:   14421, try:    132000000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 1.1875e-09, no:     104, try:    133500000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 1.0000e-09, no:   11396, try:    135000000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 7.4928e-10, no:    3761, try:    136500000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 6.3096e-10, no:   59370, try:    138000000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 4.7276e-10, no:     677, try:    139500000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 3.9811e-10, no:   10556, try:    141000000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 2.9829e-10, no:   31939, try:    142500000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 2.5119e-10, no:     825, try:    144000000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 1.8821e-10, no:   26430, try:    145500000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 1.5849e-10, no:   24816, try:    147000000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 1.1875e-10, no:     964, try:    148500000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 1.0000e-10, no:   14519, try:    150000000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 7.4928e-11, no:    8363, try:    151500000
